00 verified=true box_begin=0 box_end=1 components=dynamic nodes=9653 splits=4826 pressure_pruned=0 interval_pruned=4827 maximum_depth=28
01 verified=true box_begin=1 box_end=2 components=dynamic nodes=14321 splits=7160 pressure_pruned=4 interval_pruned=7157 maximum_depth=32
02 verified=true box_begin=2 box_end=3 components=dynamic nodes=46947 splits=23473 pressure_pruned=4 interval_pruned=23470 maximum_depth=36
03 verified=true box_begin=3 box_end=4 components=dynamic nodes=17319 splits=8659 pressure_pruned=32 interval_pruned=8628 maximum_depth=37
04 verified=true box_begin=4 box_end=5 components=dynamic nodes=99379 splits=49689 pressure_pruned=4 interval_pruned=49686 maximum_depth=39
05 verified=true box_begin=5 box_end=6 components=dynamic nodes=55933 splits=27966 pressure_pruned=32 interval_pruned=27935 maximum_depth=42
06 verified=true box_begin=6 box_end=7 components=dynamic nodes=114481 splits=57240 pressure_pruned=34 interval_pruned=57207 maximum_depth=44
07 verified=true box_begin=7 box_end=8 components=dynamic nodes=14191 splits=7095 pressure_pruned=60 interval_pruned=7036 maximum_depth=42
08 verified=true box_begin=8 box_end=9 components=dynamic nodes=92743 splits=46371 pressure_pruned=4 interval_pruned=46368 maximum_depth=39
09 verified=true box_begin=9 box_end=10 components=dynamic nodes=86839 splits=43419 pressure_pruned=30 interval_pruned=43390 maximum_depth=44
10 verified=true box_begin=10 box_end=11 components=dynamic nodes=2665691 splits=1332845 pressure_pruned=32 interval_pruned=1332814 maximum_depth=55
11 verified=true box_begin=11 box_end=12 components=dynamic nodes=48321 splits=24160 pressure_pruned=58 interval_pruned=24103 maximum_depth=48
12 verified=true box_begin=12 box_end=13 components=dynamic nodes=379669 splits=189834 pressure_pruned=32 interval_pruned=189803 maximum_depth=49
13 verified=true box_begin=13 box_end=14 components=dynamic nodes=83159 splits=41579 pressure_pruned=56 interval_pruned=41524 maximum_depth=49
14 verified=true box_begin=14 box_end=15 components=dynamic nodes=208725 splits=104362 pressure_pruned=58 interval_pruned=104305 maximum_depth=53
15 verified=true box_begin=15 box_end=16 components=dynamic nodes=4725 splits=2362 pressure_pruned=44 interval_pruned=2319 maximum_depth=45
16 verified=true box_begin=16 box_end=17 components=dynamic nodes=41075 splits=20537 pressure_pruned=4 interval_pruned=20534 maximum_depth=36
17 verified=true box_begin=17 box_end=18 components=dynamic nodes=40647 splits=20323 pressure_pruned=32 interval_pruned=20292 maximum_depth=42
18 verified=true box_begin=18 box_end=19 components=dynamic nodes=834523 splits=417261 pressure_pruned=32 interval_pruned=417230 maximum_depth=51
19 verified=true box_begin=19 box_end=20 components=dynamic nodes=35081 splits=17540 pressure_pruned=58 interval_pruned=17483 maximum_depth=47
20 verified=true box_begin=20 box_end=21 components=dynamic nodes=2294707 splits=1147353 pressure_pruned=32 interval_pruned=1147322 maximum_depth=55
21 verified=true box_begin=21 box_end=22 components=dynamic nodes=464551 splits=232275 pressure_pruned=56 interval_pruned=232220 maximum_depth=55
22 verified=true box_begin=22 box_end=23 components=dynamic nodes=36956763 splits=18478381 pressure_pruned=56 interval_pruned=18478326 maximum_depth=71
23 verified=true box_begin=23 box_end=24 components=dynamic nodes=8267 splits=4133 pressure_pruned=53 interval_pruned=4081 maximum_depth=49
24 verified=true box_begin=24 box_end=25 components=dynamic nodes=100205 splits=50102 pressure_pruned=34 interval_pruned=50069 maximum_depth=44
25 verified=true box_begin=25 box_end=26 components=dynamic nodes=55695 splits=27847 pressure_pruned=58 interval_pruned=27790 maximum_depth=48
26 verified=true box_begin=26 box_end=27 components=dynamic nodes=35229917 splits=17614958 pressure_pruned=58 interval_pruned=17614901 maximum_depth=70
27 verified=true box_begin=27 box_end=28 components=dynamic nodes=9923 splits=4961 pressure_pruned=57 interval_pruned=4905 maximum_depth=50
28 verified=true box_begin=28 box_end=29 components=dynamic nodes=185871 splits=92935 pressure_pruned=60 interval_pruned=92876 maximum_depth=53
29 verified=true box_begin=29 box_end=30 components=dynamic nodes=11931 splits=5965 pressure_pruned=54 interval_pruned=5912 maximum_depth=51
30 verified=true box_begin=30 box_end=31 components=dynamic nodes=21909 splits=10954 pressure_pruned=44 interval_pruned=10911 maximum_depth=53
31 verified=true box_begin=31 box_end=32 components=dynamic nodes=619 splits=309 pressure_pruned=67 interval_pruned=243 maximum_depth=37
32 verified=true box_begin=32 box_end=33 components=dynamic nodes=15091 splits=7545 pressure_pruned=4 interval_pruned=7542 maximum_depth=32
33 verified=true box_begin=33 box_end=34 components=dynamic nodes=14021 splits=7010 pressure_pruned=32 interval_pruned=6979 maximum_depth=37
34 verified=true box_begin=34 box_end=35 components=dynamic nodes=45493 splits=22746 pressure_pruned=32 interval_pruned=22715 maximum_depth=42
35 verified=true box_begin=35 box_end=36 components=dynamic nodes=10131 splits=5065 pressure_pruned=60 interval_pruned=5006 maximum_depth=41
36 verified=true box_begin=36 box_end=37 components=dynamic nodes=86937 splits=43468 pressure_pruned=32 interval_pruned=43437 maximum_depth=44
37 verified=true box_begin=37 box_end=38 components=dynamic nodes=27599 splits=13799 pressure_pruned=58 interval_pruned=13742 maximum_depth=46
38 verified=true box_begin=38 box_end=39 components=dynamic nodes=59215 splits=29607 pressure_pruned=58 interval_pruned=29550 maximum_depth=48
39 verified=true box_begin=39 box_end=40 components=dynamic nodes=3691 splits=1845 pressure_pruned=53 interval_pruned=1793 maximum_depth=45
40 verified=true box_begin=40 box_end=41 components=dynamic nodes=50641 splits=25320 pressure_pruned=34 interval_pruned=25287 maximum_depth=42
41 verified=true box_begin=41 box_end=42 components=dynamic nodes=25977 splits=12988 pressure_pruned=58 interval_pruned=12931 maximum_depth=46
42 verified=true box_begin=42 box_end=43 components=dynamic nodes=439637 splits=219818 pressure_pruned=58 interval_pruned=219761 maximum_depth=55
43 verified=true box_begin=43 box_end=44 components=dynamic nodes=5877 splits=2938 pressure_pruned=63 interval_pruned=2876 maximum_depth=48
44 verified=true box_begin=44 box_end=45 components=dynamic nodes=74683 splits=37341 pressure_pruned=60 interval_pruned=37282 maximum_depth=49
45 verified=true box_begin=45 box_end=46 components=dynamic nodes=7317 splits=3658 pressure_pruned=63 interval_pruned=3596 maximum_depth=49
