===== n_- grid: deterministic top-clustered =====
T,beta,f,N2,bound_rank/N,bound_s1/N,nneg1e9,nneg1e10,nneg1e12,eigmin
200,0.05,0.0000,0,0.716530,0.694241,0,0,0,3.291e-15
200,0.05,0.0050,1,0.713589,0.699121,0,0,0,-1.264e-14
200,0.05,0.0200,2,0.704829,0.689798,1,1,1,-1.733e-4
200,0.05,0.0800,10,0.617425,0.602158,8,9,9,-1.029e-2
200,0.10,0.0000,0,0.716530,0.694241,0,0,0,3.291e-15
200,0.10,0.0050,1,0.713446,0.699096,0,0,0,-5.338e-14
200,0.10,0.0200,2,0.704160,0.689215,1,1,1,-9.947e-3
200,0.10,0.0800,10,0.612452,0.597264,9,9,9,-4.142e-2
200,0.30,0.0000,0,0.716530,0.694241,0,0,0,3.291e-15
200,0.30,0.0050,1,0.711648,0.698640,0,0,0,-9.552e-13
200,0.30,0.0200,2,0.695977,0.681989,1,1,1,-1.893e-1
200,0.30,0.0800,10,0.550366,0.536063,9,9,9,-3.979e-1
200,0.50,0.0000,0,0.716530,0.694241,0,0,0,3.291e-15
200,0.50,0.0050,1,0.706139,0.696297,1,1,1,-1.534e-7
200,0.50,0.0200,2,0.672781,0.660949,1,1,2,-6.051e-1
200,0.50,0.0800,10,0.364401,0.352055,9,9,10,-1.251e0
300,0.05,0.0000,0,0.713534,0.702511,0,0,0,2.491e-17
300,0.05,0.0050,1,0.711361,0.703136,0,0,0,3.066e-18
300,0.05,0.0200,4,0.693359,0.684908,2,3,3,-8.561e-3
300,0.05,0.0800,16,0.610313,0.601866,13,13,14,-1.253e-2
300,0.10,0.0000,0,0.713534,0.702511,0,0,0,2.491e-17
300,0.10,0.0050,1,0.711249,0.703120,0,0,0,-1.868e-17
300,0.10,0.0200,4,0.692130,0.683765,3,3,3,-3.546e-2
300,0.10,0.0800,16,0.604383,0.596021,13,14,14,-5.098e-2
300,0.30,0.0000,0,0.713534,0.702511,0,0,0,2.491e-17
300,0.30,0.0050,1,0.709782,0.702759,0,0,0,-2.164e-13
