# GORTTW Thm 2.1 G_m extraction on certified 210-bit table (gorz_g4_cert.rs).
# Convention: L_j = log(gamma(M-j)/gamma(M)) = -sum_m G_m Delta^{2m-2} j^m (paper's minus).
# Columns print the RAW fit coefficients c_m (L_j = sum c_m j^m), so G_m = -c_m/Delta^{2m-2}.
# G2 = 0.990->0.998 (->1), G3 = 1.118->1.000 (->2/3), G4 = 2.009->1.559 (->2/3, not converged),
# G5 = 4.33->2.96 (->0.8), G6 = 13.97->6.62 (->1.067).  Identity-based G4 (via (2.5)) tracks direct:
# 2.05->1.48.  Limit unpinnable: Delta^6 at M>=50000 (~7e-19) below evaluator noise; certified range too small.
loaded b_k k=0..300
     M      Delta^2           G2           G3           G4           G5           G6           c0           c1
    60     3.993e-3   -0.9903927   -1.1180331   -2.0085363   -4.3339056  -13.9697328      0.000e0    4.8860026
    80     3.145e-3   -0.9927085   -1.0933148   -1.9053755   -4.0246883  -11.7218743      0.000e0    5.0261603
   100     2.605e-3   -0.9941245   -1.0750807   -1.8326951   -3.7993149  -10.3803491      0.000e0    5.1396992
   120     2.229e-3   -0.9950802   -1.0608356   -1.7776733   -3.6275572   -9.4765576      0.000e0    5.2354418
   150     1.837e-3   -0.9960454   -1.0442199   -1.7152756   -3.4333759   -8.5525820      0.000e0    5.3560939
   180     1.566e-3   -0.9966944   -1.0313131   -1.6680455   -3.2876304   -7.9162626      0.000e0    5.4573867
   210     1.367e-3   -0.9971607   -1.0208640   -1.6305617   -3.1730577   -7.4459061      0.000e0    5.5448510
   240     1.215e-3   -0.9975119   -1.0121489   -1.5997953   -3.0798813   -7.0808870      0.000e0    5.6219169
   270     1.093e-3   -0.9977860   -1.0047153   -1.5738997   -3.0021247   -6.7873860      0.000e0    5.6908648
   290     1.026e-3   -0.9979375   -1.0003188   -1.5587317   -2.9568813   -6.6210037      0.000e0    5.7331279
