# LOCATE: ζ' zeros in [0.5,1]×[5000,5100] via grid-min + secant
  global grid min |ζ'| = 5.944e-3 at σ=0.910 t=5047.600
  located ζ' zeros: 67
    σ=0.675828 t=5000.552755
    σ=0.685765 t=5003.245050
    σ=0.678291 t=5005.709202
    σ=0.651681 t=5006.470676
    σ=0.722892 t=5007.204516
    σ=0.680387 t=5008.962684
    σ=0.506261 t=5010.872406
    σ=0.966128 t=5012.429813
    σ=0.783147 t=5013.850236
    σ=0.977493 t=5015.653931
    σ=0.764217 t=5017.627077
    σ=0.845551 t=5018.448359
    σ=0.591959 t=5019.187910
    σ=0.764965 t=5020.151661
    σ=0.691834 t=5022.448788
    σ=0.870041 t=5024.194565
    σ=0.594009 t=5025.964330
    σ=0.896252 t=5027.031156
    σ=0.736641 t=5028.826707
    σ=0.840694 t=5029.730083
    σ=0.874524 t=5030.778597
    σ=0.831677 t=5032.656018
    σ=0.588305 t=5034.742723
    σ=0.608876 t=5035.308419
    σ=0.726884 t=5037.173999
    σ=0.784928 t=5038.090079
    σ=0.920849 t=5039.603720
    σ=0.728244 t=5041.274017
    σ=0.720823 t=5042.096917
    σ=0.619749 t=5042.796862
    σ=0.758069 t=5044.895385
    σ=0.602637 t=5045.711019
    σ=0.907593 t=5047.600228
    σ=0.862341 t=5048.603443
    σ=0.810505 t=5050.540898
    σ=0.610670 t=5052.504712
    σ=0.948754 t=5053.291646
    σ=0.765621 t=5054.107090
    σ=0.743766 t=5054.952680
    σ=0.951838 t=5056.735294
    σ=0.859771 t=5057.973106
    σ=0.811806 t=5060.846399
    σ=0.950206 t=5061.781475
    σ=0.537591 t=5064.479379
    σ=0.741848 t=5065.245468
    σ=0.844609 t=5066.424935
    σ=0.690199 t=5068.604876
    σ=0.661107 t=5069.382341
    σ=0.564785 t=5071.062316
    σ=0.946523 t=5073.804147
    σ=0.643467 t=5074.675539
    σ=0.646218 t=5076.842678
    σ=0.844440 t=5077.759757
    σ=0.616948 t=5079.828951
    σ=0.972126 t=5080.516595
    σ=0.646360 t=5081.399174
    σ=0.657460 t=5082.091273
    σ=0.701110 t=5084.114691
    σ=0.851683 t=5086.114371
    σ=0.633750 t=5087.244044
    σ=0.664841 t=5088.904934
    σ=0.585899 t=5092.617028
    σ=0.748072 t=5093.442574
    σ=0.909040 t=5095.103865
    σ=0.544296 t=5096.785200
    σ=0.840863 t=5097.495548
    σ=0.715304 t=5099.255870
