# REALSCAN: ζ'(σ) for real σ∈[0,1] (t=0) — sign structure
  σ=0.000: ζ'=NaN  (im=NaN, cert-err=NaN)
  σ=0.050: ζ'=-1.027295  (im=+0.0e0, cert-err=4.0e-14)
  σ=0.100: ζ'=-1.154165  (im=+0.0e0, cert-err=3.7e-14)
  σ=0.150: ζ'=-1.304026  (im=+0.0e0, cert-err=3.3e-14)
  σ=0.200: ζ'=-1.482800  (im=+0.0e0, cert-err=3.1e-14)
  σ=0.250: ζ'=-1.698445  (im=+0.0e0, cert-err=2.8e-14)
  σ=0.300: ζ'=-1.961861  (im=+0.0e0, cert-err=2.5e-14)
  σ=0.350: ζ'=-2.288295  (im=+0.0e0, cert-err=2.3e-14)
  σ=0.400: ζ'=-2.699605  (im=+0.0e0, cert-err=2.1e-14)
  σ=0.450: ζ'=-3.228018  (im=+0.0e0, cert-err=1.9e-14)
  σ=0.500: ζ'=-3.922646  (im=+0.0e0, cert-err=1.8e-14)
  σ=0.550: ζ'=-4.861340  (im=+0.0e0, cert-err=1.6e-14)
  σ=0.600: ζ'=-6.173498  (im=+0.0e0, cert-err=1.6e-14)
  σ=0.650: ζ'=-8.087201  (im=+0.0e0, cert-err=1.9e-14)
  σ=0.700: ζ'=-11.035491  (im=+0.0e0, cert-err=2.4e-14)
  σ=0.750: ζ'=-15.924832  (im=+0.0e0, cert-err=3.2e-14)
  σ=0.800: ζ'=-24.925290  (im=+0.0e0, cert-err=4.8e-14)
  σ=0.850: ζ'=-44.370199  (im=+0.0e0, cert-err=8.2e-14)
  σ=0.900: ζ'=-99.926226  (im=+0.0e0, cert-err=1.8e-13)
  σ=0.950: ζ'=-399.926702  (im=+0.0e0, cert-err=7.1e-13)
  σ=1.000: ζ'=-20282409603651668172147437600768.000000  (im=+0.0e0, cert-err=3.6e16)
  ζ'(0.5) = -3.922646  (must be < 0 for no real zero in (0,0.5))
