# n lambda_n main residual fluct(actual-smoothed) main_over_n
1 0.0230920892 -1.1303307008 1.153423e0 3.133958e-3 -1.130331
2 0.0923312563 -1.5675142209 1.659845e0 1.251752e-2 -0.783757
3 0.2076063430 -1.7430736693 1.950680e0 2.809585e-2 -0.581025
4 0.3687325638 -1.7487340808 2.117467e0 4.977789e-2 -0.437184
5 0.5754522212 -1.6280587227 2.203511e0 7.743687e-2 -0.325612
6 0.8274357019 -1.4067057968 2.234141e0 1.109110e-1 -0.234451
7 1.1242827507 -1.1016293836 2.225912e0 1.500045e-1 -0.157376
8 1.4655240143 -0.7248794393 2.190403e0 1.944883e-1 -0.090610
9 1.8506228501 -0.2854657088 2.136089e0 2.441019e-1 -0.031718
10 2.2789773900 0.2096184574 2.069359e0 2.985543e-1 0.020962
11 2.7499228507 0.7547862921 1.995137e0 3.575258e-1 0.068617
12 3.2627340793 1.3454714897 1.917263e0 4.206701e-1 0.112123
13 3.8166283232 1.9778717137 1.838757e0 4.876156e-1 0.152144
14 4.4107682113 2.6487714968 1.761997e0 5.579680e-1 0.189198
15 5.0442649324 3.3554159970 1.688849e0 6.313123e-1 0.223694
16 5.7161815976 4.0954185659 1.620763e0 7.072151e-1 0.255964
17 6.4255367697 4.8666915117 1.558845e0 7.852271e-1 0.286276
18 7.1713081453 5.6673932075 1.503915e0 8.648856e-1 0.314855
19 7.9524363713 6.4958869878 1.456549e0 9.457170e-1 0.341889
20 8.7678289795 7.3507087205 1.417120e0 1.027240e0 0.367535
21 9.6163644216 8.2305408803 1.385824e0 1.108966e0 0.391931
22 10.4968961849 9.1341915704 1.362705e0 1.190407e0 0.415191
23 11.4082569726 10.0605773658 1.347680e0 1.271073e0 0.437416
24 12.3492629272 11.0087091461 1.340554e0 1.350476e0 0.458696
25 13.3187178807 11.9776802920 1.341038e0 1.428136e0 0.479107
26 14.3154176102 12.9666567747 1.348761e0 1.503579e0 0.498718
27 15.3381540816 13.9748687707 1.363285e0 1.576344e0 0.517588
28 16.3857196621 15.0016035213 1.384116e0 1.645982e0 0.535772
29 17.4569112828 16.0461992129 1.410712e0 1.712062e0 0.553317
30 18.5505345325 17.1080397023 1.442495e0 1.774170e0 0.570268
31 19.6654076662 18.1865499461 1.478858e0 1.831914e0 0.586663
32 20.8003655094 19.2811920207 1.519173e0 1.884927e0 0.602537
33 21.9542632423 20.3914616393 1.562802e0 1.932865e0 0.617923
34 23.1259800468 21.5168850928 1.609095e0 1.975412e0 0.632850
35 24.3144226020 22.6570165497 1.657406e0 2.012284e0 0.647343
36 25.5185284117 23.8114356651 1.707093e0 2.043226e0 0.661429
37 26.7372689516 24.9797454560 1.757523e0 2.068016e0 0.675128
38 27.9696526226 26.1615704062 1.808082e0 2.086467e0 0.688462
39 29.2147274979 27.3565547701 1.858173e0 2.098428e0 0.701450
40 30.4715838535 28.5643610521 1.907223e0 2.103782e0 0.714109
41 31.7393564718 29.7846686365 1.954688e0 2.102452e0 0.726455
42 33.0172267100 31.0171725523 2.000054e0 2.094397e0 0.738504
43 34.3044243251 32.2615823550 2.042842e0 2.079615e0 0.750269
44 35.6002290500 33.5176211130 2.082608e0 2.058143e0 0.761764
45 36.9039719147 34.7850244859 2.118947e0 2.030055e0 0.773001
46 38.2150363094 36.0635398846 2.151496e0 1.995465e0 0.783990
47 39.5328587863 37.3529257048 2.179933e0 1.954524e0 0.794743
48 40.8569295992 38.6529506256 2.203979e0 1.907419e0 0.805270
49 42.1867929811 39.9633929668 2.223400e0 1.854377e0 0.815579
50 43.5220471599 41.2840400980 2.238007e0 1.795655e0 0.825681
51 44.8623441159 42.6146878960 2.247656e0 1.731549e0 0.835582
52 46.2073890844 43.9551402439 2.252249e0 1.662385e0 0.845291
53 47.5569398079 45.3052085692 2.251731e0 1.588521e0 0.854815
54 48.9108055447 46.6647114165 2.246094e0 1.510343e0 0.864161
55 50.2688458412 48.0334740524 2.235372e0 1.428265e0 0.873336
56 51.6309690753 49.4113280984 2.219641e0 1.342726e0 0.882345
57 52.9971307820 50.7981111903 2.199020e0 1.254189e0 0.891195
58 54.3673317706 52.1936666621 2.173665e0 1.163136e0 0.899891
59 55.7416160454 53.5978432507 2.143773e0 1.070067e0 0.908438
60 57.1200685420 55.0104948214 2.109574e0 9.754980e-1 0.916842
100 118.5675780648 117.2254392240 1.342139e0 7.919680e-1 1.172254
200 306.5109756337 303.7655965040 2.745379e0 2.541291e0 1.518828
300 519.3761899835 516.4681609723 2.908029e0 2.479461e0 1.721561
400 747.7364263817 746.1606291200 1.575797e0 -2.995789e-1 1.865402
500 990.9951614161 988.4866742286 2.508487e0 -5.828212e-1 1.976973
600 1240.8402128270 1240.8804761125 -4.026329e-2 -2.041579e-1 2.068134
700 1504.3561030627 1501.6466267375 2.709476e0 5.525318e0 2.145209
800 1761.5468614782 1769.5801304640 -8.033269e0 -7.800795e0 2.211975
900 2042.9798849442 2043.7800128174 -8.001279e-1 4.024268e0 2.270867
1000 2322.4334418024 2323.5469387372 -1.113497e0 5.776789e0 2.323547
