k T_k t_k t_k*(k+1)
1 7.055699e-5 5.3481619030e-1 1.0696323806e0
2 5.679989e-9 3.7269288181e-1 1.1180786454e0
3 1.999672e-13 2.8862977300e-1 1.1545190920e0
4 3.772144e-18 2.3667798823e-1 1.1833899411e0
5 4.297889e-23 2.0118544537e-1 1.2071126722e0
6 3.203116e-28 1.7530485844e-1 1.2271340091e0
7 1.653289e-33 1.5554746441e-1 1.2443797153e0
8 6.170073e-39 1.3994162804e-1 1.2594746524e0
9 1.722015e-44 1.2728588343e-1 1.2728588343e0
10 3.692963e-50 1.1680481136e-1 1.2848529250e0
11 6.223107e-56 1.0797477626e-1 1.2956973151e0
12 8.395934e-62 1.0042896422e-1 1.3055765349e0
13 9.214742e-68 9.3902507885e-2 1.3146351104e0
14 8.340970e-74 8.8199213785e-2 1.3229882068e0
15 6.301838e-80 8.3170561131e-2 1.3307289781e0
16 4.016115e-86 7.8701986445e-2 1.3379337696e0
17 2.179142e-92 7.4703659996e-2 1.3446658799e0
18 1.015134e-98 7.1104122881e-2 1.3509783347e0
19 4.090442e-105 6.7845798273e-2 1.3569159655e0
20 1.435372e-111 6.4881761527e-2 1.3625169921e0
21 4.413404e-118 6.2173374733e-2 1.3678142441e0
22 1.195729e-124 5.9688526722e-2 1.3728361146e0
23 2.869274e-131 5.7400304723e-2 1.3776073133e0
24 6.126938e-138 5.5285978742e-2 1.3821494686e0
25 1.169340e-144 5.3326215813e-2 1.3864816111e0
26 2.002704e-151 5.1504465497e-2 1.3906205684e0
27 3.089587e-158 4.9806474520e-2 1.3945812866e0
28 4.308318e-165 4.8219899885e-2 1.3983770967e0
29 5.448217e-172 4.6733997857e-2 1.4020199357e0
30 6.267079e-179 4.5339371984e-2 1.4055205315e0
31 6.576315e-186 4.4027767435e-2 1.4088885579e0
32 6.312107e-193 4.2791902019e-2 1.4121327666e0
33 5.555715e-200 4.1625326428e-2 1.4152610985e0
34 4.494865e-207 4.0522307991e-2 1.4182807797e0
35 3.350307e-214 3.9477733412e-2 1.4211984028e0
36 2.305535e-221 3.8487026983e-2 1.4240199984e0
37 1.467767e-228 3.7546081456e-2 1.4267510953e0
38 8.661152e-236 3.6651199351e-2 1.4293967747e0
39 4.745927e-243 3.5799042889e-2 1.4319617156e0
40 2.419070e-250 3.4986591118e-2 1.4344502358e0
41 1.148889e-257 3.4211103044e-2 1.4368663278e0
42 5.092089e-265 3.3470085806e-2 1.4392136896e0
43 2.109400e-272 3.2761267110e-2 1.4414957529e0
44 8.178877e-280 3.2082571270e-2 1.4437157072e0
45 2.972356e-287 3.1432098307e-2 1.4458765221e0
46 1.013808e-294 3.0808105675e-2 1.4479809667e0
47 3.249447e-302 3.0208992220e-2 1.4500316266e0
48 9.799230e-310 2.9633284073e-2 1.4520309196e0
49 2.783631e-317 2.9079622199e-2 1.4539811099e0
50 0.000000e0 2.8546751383e-2 1.4558843205e0
51 0.000000e0 2.8033510466e-2 1.4577425442e0
52 0.000000e0 2.7538823667e-2 1.4595576544e0
53 0.000000e0 2.7061692844e-2 1.4613314136e0
54 0.000000e0 2.6601190591e-2 1.4630654825e0
55 0.000000e0 2.6156454056e-2 1.4647614272e0
56 0.000000e0 2.5726679404e-2 1.4664207260e0
57 0.000000e0 2.5311116831e-2 1.4680447762e0
58 0.000000e0 2.4909066090e-2 1.4696348993e0
59 0.000000e0 2.4519872442e-2 1.4711923465e0
60 0.000000e0 2.4142923011e-2 1.4727183037e0
61 0.000000e0 2.3777643473e-2 1.4742138953e0
62 0.000000e0 2.3423495066e-2 1.4756801892e0
63 0.000000e0 2.3079971867e-2 1.4771181995e0
64 0.000000e0 2.2746598319e-2 1.4785288907e0
65 0.000000e0 2.2422926977e-2 1.4799131805e0
66 0.000000e0 2.2108536459e-2 1.4812719427e0
67 0.000000e0 2.1803029562e-2 1.4826060102e0
68 0.000000e0 2.1506031550e-2 1.4839161770e0
69 0.000000e0 2.1217188584e-2 1.4852032009e0
70 0.000000e0 2.0936166275e-2 1.4864678056e0
71 0.000000e0 2.0662648368e-2 1.4877106825e0
72 0.000000e0 2.0396335516e-2 1.4889324927e0
73 0.000000e0 2.0136944172e-2 1.4901338687e0
74 0.000000e0 1.9884205546e-2 1.4913154159e0
75 0.000000e0 1.9637864662e-2 1.4924777143e0
76 0.000000e0 1.9397679476e-2 1.4936213196e0
77 0.000000e0 1.9163420061e-2 1.4947467647e0
78 0.000000e0 1.8934867860e-2 1.4958545609e0
79 0.000000e0 1.8711814987e-2 1.4969451989e0
80 0.000000e0 1.8494063582e-2 1.4980191501e0
81 0.000000e0 1.8281425212e-2 1.4990768674e0
82 0.000000e0 1.8073720313e-2 1.5001187860e0
83 0.000000e0 1.7870777676e-2 1.5011453248e0
84 0.000000e0 1.7672433960e-2 1.5021568866e0
85 0.000000e0 1.7478533247e-2 1.5031538592e0
86 0.000000e0 1.7288926624e-2 1.5041366163e0
87 0.000000e0 1.7103471792e-2 1.5051055177e0
88 0.000000e0 1.6922032699e-2 1.5060609102e0
89 0.000000e0 1.6744479205e-2 1.5070031285e0
90 0.000000e0 1.6570686759e-2 1.5079324951e0
91 0.000000e0 1.6400536104e-2 1.5088493216e0
92 0.000000e0 1.6233912995e-2 1.5097539085e0
93 0.000000e0 1.6070707939e-2 1.5106465462e0
94 0.000000e0 1.5910815951e-2 1.5115275153e0
95 0.000000e0 1.5754136322e-2 1.5123970869e0
96 0.000000e0 1.5600572403e-2 1.5132555231e0
97 0.000000e0 1.5450031403e-2 1.5141030775e0
98 0.000000e0 1.5302424195e-2 1.5149399953e0
99 0.000000e0 1.5157665140e-2 1.5157665140e0
100 0.000000e0 1.5015671914e-2 1.5165828633e0
101 0.000000e0 1.4876365351e-2 1.5173892659e0
102 0.000000e0 1.4739669294e-2 1.5181859373e0
103 0.000000e0 1.4605510447e-2 1.5189730865e0
104 0.000000e0 1.4473818248e-2 1.5197509160e0
105 0.000000e0 1.4344524739e-2 1.5205196223e0
106 0.000000e0 1.4217564446e-2 1.5212793957e0
107 0.000000e0 1.4092874269e-2 1.5220304211e0
108 0.000000e0 1.3970393373e-2 1.5227728777e0
109 0.000000e0 1.3850063088e-2 1.5235069397e0
110 0.000000e0 1.3731826811e-2 1.5242327760e0
111 0.000000e0 1.3615629918e-2 1.5249505508e0
112 0.000000e0 1.3501419678e-2 1.5256604236e0
113 0.000000e0 1.3389145169e-2 1.5263625492e0
114 0.000000e0 1.3278757204e-2 1.5270570785e0
115 0.000000e0 1.3170208255e-2 1.5277441576e0
116 0.000000e0 1.3063452386e-2 1.5284239291e0
117 0.000000e0 1.2958445182e-2 1.5290965315e0
118 0.000000e0 1.2855143692e-2 1.5297620994e0
119 0.000000e0 1.2753506367e-2 1.5304207640e0
120 0.000000e0 1.2653493000e-2 1.5310726530e0
121 0.000000e0 1.2555064676e-2 1.5317178905e0
122 0.000000e0 1.2458183720e-2 1.5323565976e0
123 0.000000e0 1.2362813646e-2 1.5329888921e0
124 0.000000e0 1.2268919110e-2 1.5336148888e0
125 0.000000e0 1.2176465870e-2 1.5342346996e0
126 0.000000e0 1.2085420736e-2 1.5348484334e0
127 0.000000e0 1.1995751536e-2 1.5354561966e0
128 0.000000e0 1.1907427076e-2 1.5360580928e0
129 0.000000e0 1.1820417099e-2 1.5366542229e0
130 0.000000e0 1.1734692256e-2 1.5372446855e0
131 0.000000e0 1.1650224067e-2 1.5378295769e0
132 0.000000e0 1.1566984892e-2 1.5384089906e0
133 0.000000e0 1.1484947899e-2 1.5389830184e0
134 0.000000e0 1.1404087033e-2 1.5395517495e0
135 0.000000e0 1.1324376994e-2 1.5401152712e0
136 0.000000e0 1.1245793202e-2 1.5406736686e0
137 0.000000e0 1.1168311775e-2 1.5412270250e0
138 0.000000e0 1.1091909507e-2 1.5417754214e0
139 0.000000e0 1.1016563839e-2 1.5423189375e0
140 0.000000e0 1.0942252841e-2 1.5428576505e0
141 0.000000e0 1.0868955186e-2 1.5433916365e0
142 0.000000e0 1.0796650135e-2 1.5439209693e0
143 0.000000e0 1.0725317510e-2 1.5444457215e0
144 0.000000e0 1.0654937682e-2 1.5449659638e0
145 0.000000e0 1.0585491544e-2 1.5454817655e0
146 0.000000e0 1.0516960505e-2 1.5459931942e0
147 0.000000e0 1.0449326461e-2 1.5465003162e0
148 0.000000e0 1.0382571787e-2 1.5470031963e0
149 0.000000e0 1.0316679319e-2 1.5475018978e0
150 0.000000e0 1.0251632337e-2 1.5479964828e0
151 0.000000e0 1.0187414553e-2 1.5484870121e0
152 0.000000e0 1.0124010098e-2 1.5489735449e0
153 0.000000e0 1.0061403504e-2 1.5494561397e0
154 0.000000e0 9.9995796978e-3 1.5499348532e0
155 0.000000e0 9.9385239824e-3 1.5504097413e0
156 0.000000e0 9.8782220291e-3 1.5508808586e0
157 0.000000e0 9.8186598648e-3 1.5513482586e0
158 0.000000e0 9.7598238608e-3 1.5518119939e0
159 0.000000e0 9.7017007229e-3 1.5522721157e0
160 0.000000e0 9.6442774804e-3 1.5527286743e0
161 0.000000e0 9.5875414768e-3 1.5531817192e0
162 0.000000e0 9.5314803602e-3 1.5536312987e0
163 0.000000e0 9.4760820742e-3 1.5540774602e0
164 0.000000e0 9.4213348489e-3 1.5545202501e0
165 0.000000e0 9.3672271927e-3 1.5549597140e0
166 0.000000e0 9.3137478839e-3 1.5553958966e0
167 0.000000e0 9.2608859628e-3 1.5558288417e0
168 0.000000e0 9.2086307241e-3 1.5562585924e0
169 0.000000e0 9.1569717099e-3 1.5566851907e0
170 0.000000e0 9.1058987018e-3 1.5571086780e0
171 0.000000e0 9.0554017149e-3 1.5575290950e0
172 0.000000e0 9.0054709905e-3 1.5579464814e0
173 0.000000e0 8.9560969902e-3 1.5583608763e0
174 0.000000e0 8.9072703892e-3 1.5587723181e0
175 0.000000e0 8.8589820710e-3 1.5591808445e0
176 0.000000e0 8.8112231209e-3 1.5595864924e0
177 0.000000e0 8.7639848210e-3 1.5599892981e0
178 0.000000e0 8.7172586443e-3 1.5603892973e0
179 0.000000e0 8.6710362499e-3 1.5607865250e0
180 0.000000e0 8.6253094777e-3 1.5611810155e0
181 0.000000e0 8.5800703437e-3 1.5615728025e0
182 0.000000e0 8.5353110349e-3 1.5619619194e0
183 0.000000e0 8.4910239053e-3 1.5623483986e0
184 0.000000e0 8.4472014708e-3 1.5627322721e0
185 0.000000e0 8.4038364056e-3 1.5631135714e0
186 0.000000e0 8.3609215374e-3 1.5634923275e0
187 0.000000e0 8.3184498437e-3 1.5638685706e0
188 0.000000e0 8.2764144481e-3 1.5642423307e0
189 0.000000e0 8.2348086161e-3 1.5646136370e0
190 0.000000e0 8.1936257515e-3 1.5649825185e0
191 0.000000e0 8.1528593934e-3 1.5653490035e0
192 0.000000e0 8.1125032119e-3 1.5657131199e0
193 0.000000e0 8.0725510055e-3 1.5660748951e0
194 0.000000e0 8.0329966974e-3 1.5664343560e0
195 0.000000e0 7.9938343327e-3 1.5667915292e0
196 0.000000e0 7.9550580750e-3 1.5671464408e0
197 0.000000e0 7.9166622039e-3 1.5674991164e0
198 0.000000e0 7.8786411116e-3 1.5678495812e0
199 0.000000e0 7.8409893007e-3 1.5681978601e0
200 0.000000e0 7.8037013811e-3 1.5685439776e0
